X,Y,ObjectID,Loc_name,Status,Score,Match_type,Match_addr,Addr_type,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,Side,StPreDir,StPreType,StName,StType,StDir,StAddr,Nbrhd,City,Subregion,Region,Postal,PostalExt,Country,LangCode,Distance,X,Y,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ARC_Addres,ARC_Neighb,ARC_City,ARC_Subreg,ARC_Region,ARC_Postal,ARC_Post_1,ARC_Countr,PCT,AREA,LOCATION,ADDRESS,city_1,state
-85.862178946999677,38.144476832000464,22,USA.StreetAddress,M,100.00000000000,A,"5801 Greenwood Rd, Louisville, Kentucky, 40258",StreetAddress,,,,,,,,5801,5663,5959,R,,,Greenwood,Rd,,,,Louisville,,Kentucky,40258,,USA,ENG,0.00000000000,-85.86218000000,38.14447700000,-85.86218000000,38.14447700000,-85.86418000000,-85.86018000000,38.14247700000,38.14647700000,5801 Greenwood Road,,Louisville,,Kentucky,,,,A136,1.00000000000,Greenwood Elem Sch Gym,5801 Greenwood Road,Louisville,Kentucky
-85.864700995999669,38.106967738000492,23,USA.StreetAddress,M,100.00000000000,A,"5415 Valley Station Rd, Louisville, Kentucky, 40272",StreetAddress,,,,,,,,5415,5321,5425,R,,,Valley Station,Rd,,,,Louisville,,Kentucky,40272,,USA,ENG,0.00000000000,-85.86470200000,38.10696800000,-85.86470200000,38.10696800000,-85.86570200000,-85.86370200000,38.10596800000,38.10796800000,5415 Valley Station Road,,Louisville,,Kentucky,,,,A139,1.00000000000,Highview Bapt Ch--Valley Campus,5415 Valley Station Road,Louisville,Kentucky
-85.864700995999669,38.106967738000492,24,USA.StreetAddress,M,100.00000000000,A,"5415 Valley Station Rd, Louisville, Kentucky, 40272",StreetAddress,,,,,,,,5415,5321,5425,R,,,Valley Station,Rd,,,,Louisville,,Kentucky,40272,,USA,ENG,0.00000000000,-85.86470200000,38.10696800000,-85.86470200000,38.10696800000,-85.86570200000,-85.86370200000,38.10596800000,38.10796800000,5415 Valley Station Road,,Louisville,,Kentucky,,,,A140,1.00000000000,Highview Bapt Ch--Valley Campus,5415 Valley Station Road,Louisville,Kentucky
-85.838402075999682,38.145888357000445,25,USA.StreetAddress,M,100.00000000000,A,"7219 Dixie Hwy, Louisville, Kentucky, 40258",StreetAddress,,,,,,,,7219,7239,7219,R,,,Dixie,Hwy,,,,Louisville,,Kentucky,40258,,USA,ENG,0.00000000000,-85.83840300000,38.14588800000,-85.83840300000,38.14588800000,-85.83940300000,-85.83740300000,38.14488800000,38.14688800000,7219 Dixie Highway,,Louisville,,Kentucky,,,,A141,14.00000000000,Southwest Govt Ctr,7219 Dixie Highway,Louisville,Kentucky
-85.873672815999669,38.090628228000469,26,USA.StreetAddress,M,100.00000000000,A,"11801 Deering Rd, Louisville, Kentucky, 40272",StreetAddress,,,,,,,,11801,11701,11899,L,,,Deering,Rd,,,,Louisville,,Kentucky,40272,,USA,ENG,0.00000000000,-85.87367400000,38.09062800000,-85.87367400000,38.09062800000,-85.87567400000,-85.87167400000,38.08862800000,38.09262800000,11801 Deering Road,,Louisville,,Kentucky,,,,A142,1.00000000000,Medora Elem Sch Gym,11801 Deering Road,Louisville,Kentucky
-85.864700995999669,38.106967738000492,27,USA.StreetAddress,M,100.00000000000,A,"5415 Valley Station Rd, Louisville, Kentucky, 40272",StreetAddress,,,,,,,,5415,5321,5425,R,,,Valley Station,Rd,,,,Louisville,,Kentucky,40272,,USA,ENG,0.00000000000,-85.86470200000,38.10696800000,-85.86470200000,38.10696800000,-85.86570200000,-85.86370200000,38.10596800000,38.10796800000,5415 Valley Station Road,,Louisville,,Kentucky,,,,A143,1.00000000000,Highview Bapt Ch--Valley Campus,5415 Valley Station Road,Louisville,Kentucky
-85.621449125999675,38.137388126000474,28,USA.StreetAddress,M,100.00000000000,A,"7400 Outer Loop, Louisville, Kentucky, 40228",StreetAddress,,,,,,,,7400,7310,7400,R,,,Outer,Loop,,,,Louisville,,Kentucky,40228,,USA,ENG,0.00000000000,-85.62145000000,38.13738800000,-85.62145000000,38.13738800000,-85.62345000000,-85.61945000000,38.13538800000,38.13938800000,7400 Outer Loop,,Louisville,,Kentucky,,,,B124,4.00000000000,Summit Heights United Meth Ch,7400 Outer Loop,Louisville,Kentucky
-85.628844631999641,38.151915558000496,29,USA.PointAddress,M,90.92000000000,A,"6900 Old Fegenbush Ln, Louisville, Kentucky, 40228",PointAddress,,,,,,,,6900,,,L,,Old,Fegenbush,Ln,,,,Louisville,,Kentucky,40228,,USA,ENG,0.00000000000,-85.62884600000,38.15191600000,-85.62964100000,38.15196000000,-85.62984600000,-85.62784600000,38.15091600000,38.15291600000,6900 Fegenbush Lane,,Louisville,,Kentucky,,,,B132,4.00000000000,Luhr Elem Sch Gym,6900 Fegenbush Lane,Louisville,Kentucky
-85.618046467999648,38.140080515000477,30,USA.StreetAddress,M,100.00000000000,A,"7711 Fegenbush Ln, Louisville, Kentucky, 40228",StreetAddress,,,,,,,,7711,7715,7611,R,,,Fegenbush,Ln,,,,Louisville,,Kentucky,40228,,USA,ENG,0.00000000000,-85.61804700000,38.14008100000,-85.61804700000,38.14008100000,-85.61904700000,-85.61704700000,38.13908100000,38.14108100000,7711 Fegenbush Lane,,Louisville,,Kentucky,,,,B133,4.00000000000,Highview Bapt Ch--Fegenbush Campus,7711 Fegenbush Lane,Louisville,Kentucky
-85.580869345999645,38.136739513000464,31,USA.StreetAddress,M,100.00000000000,A,"7601 Bardstown Rd, Louisville, Kentucky, 40291",StreetAddress,,,,,,,,7601,7719,7507,R,,,Bardstown,Rd,,,,Louisville,,Kentucky,40291,,USA,ENG,0.00000000000,-85.58087000000,38.13674000000,-85.58087000000,38.13674000000,-85.58187000000,-85.57987000000,38.13574000000,38.13774000000,7601 Bardstown Road,,Louisville,,Kentucky,,,,B134,4.00000000000,Bates Elem Sch Gym,7601 Bardstown Road,Louisville,Kentucky
